Developer,Trending Games Count
Stage2Studios,3
AirtightGames,3
PropagandaGames,3
SonicTeam,3
SCEELondonStudio,3
PivotalGames,3
DangerClose,3
Kylotonn,3
FatsharkAB,3
SlantSix,3
Blue52,3
SparkUnlimitedcomcept,3
KungFuFactory,3
MadmindStudio,3
DigitalExtremes,3
BehaviorStudios,3
RedTribe,3
HighVoltageSoftwareBackboneEntertainment,3
DMADesign,2
KojimaProductionsMobyDickStudio,2
SupergiantGames,2
TeamCherry,2
PlatinumGamesNexEntertainment,2
GenkiBluepointGames,2
Flagship,2
MediaMolecule,2
SegaAM2,2
PsyonixPanicButton,2
AbstractionGamesDennaton,2
UbisoftMilan,2
VisualConcepts,2
FailbetterGames,2
JoakimSandbergKonjak,2
GoodFeel,2
Psyonix,2
5pbMages,2
OmegaForceKoeiTecmoGames,2
WilliamChyrStudioLLC,2
RocksteadyStudiosWBGamesMontreal,2
THQYukes,2
CapcomMTwo,2
AppaloosaInteractive,2
DrinkBoxStudios,2
TequilaWorks,2
QGames,2
Fabraz,2
GaijinEntertainment,2
A44,2
RecoilGames,2
SkydanceInteractive,2
NordicGamesPublishing,2
MadDocSoftwareRockstarVancouver,2
QuanticDream,2
SteelWoolGamesIncSteelWoolGames,2
MikeBithell,2
FlyingOakGames,2
EldenPixels,2
BizarreCreationsKujuEntertainment,2
Frogmind,2
FoamSword,2
TwistedPixelGames,2
Shinen,2
RunicGames,2
CapcomQLOC,2
UltraUltra,2
Flippfly,2
RainGamesSoedesco,2
TechlandONEMORELEVEL,2
HopFrog,2
CoilworksDoubleEleven,2
SonyOnlineEntertainmentDaybreakGames,2
UbisoftRedStormEntertainment,2
ForgeReply,2
NipponIchiSoftware,2
OwlchemyLabs,2
AmusementVision,2
HeadfirstProductions,2
TheGentlebros,2
LudosityInteractive,2
TripleEhLtd,2
IcePickLodge,2
Exakt,2
SideQuestStudios,2
BenEsposito,2
DTPEntertainmentRonimoGames,2
VanguardGames,2
RatloopAsiaPteLtd,2
tinyBuildDoMyBestGames,2
Mediatonic,2
HumanHeadStudios,2
SmartBombInteractive,2
WideloadGamesInc,2
VooFooStudios,2
CompileHeart,2
roll7,2
Finji,2
KeenGames,2
PulseEntertainment,2
WestwoodStudios,2
CapcomCapcomVancouver,2
InfinitapGames,2
HeadbangClub,2
YoungHorsesInc,2
Parabole,2
Funomena,2
UpstreamArcade,2
SCEE,2
5THCell,2
UbisoftMontpellierStraightRight,2
BlueIsleStudios,2
JustAddWaterSquareOneGames,2
iFun4allCurveDigital,2
SeavenStudioHollowTreeGames,2
PiecesInteractive,2
Lichthund,2
OverkillSoftware,2
HollowPonds,2
TripwireInteractiveBlindsideInteractive,2
SonyBend,2
CyberConnect2,2
ProjectAces,2
DisneyInteractiveStudios,2
WizardFuGames,2
OrbitalMediaInc,2
ToyboxGames,2
Vanguard343Industries,2
SantaCruzGames,2
GlyphXGames,2
Playbrains,2
RockstarLondon,2
PaintedBlackGames,2
SplendyGames,2
YsNet,2
SCEStudioCambridge,2
Nihilistic,2
ZojoiStudios,2
StudioTRIGGERAplus,2
AppealBigbenInteractiveBigbenGames,2
Altron,2
CrankyPantsGames,2
CowardlyCreations,2
AscaronEntertainmentGmbHAscaronEntertainment,2
Atari,2
NowProduction,2
Antagonist,2
BuenaVistaGames,2
StudioNanafushi,2
OmegaForce,2
BostonAnimation,2
HeavySpectrum,2
TrueAxis,2
WideGames,2
RockPocketGamesDreamloopGames,2
ThreeOneZero,2
MidwayStudiosLosAngeles,2
PhosphorGamesStudioLLCPhosphorGames,2
AsylumEntertainment,2
DigitalTales,2
Sky9,2
CreaturesInc,2
SegaSoftSonicTeam,2
Survios,2
EnlightSoftware,2
CCP,2
SumoDigitalElbowRocket,2
CyberGroupStudios,2
Exiin,2
HarebrainedSchemesLLC,2
MatrixSoftware,2
ArtificialStudiosImmersionSoftwareGraphics,2
LuckyChicken,2
VISEntertainment,2
MonkeyBarGames,2
UbisoftCasablanca,2
HaemimontHaemimontGames,2
Swordtales,2
UppercutGamesUppercutGamesPtyLtd,2
BlueSkyStudios,2
MuckyFootProductions,2
Wizarbox,2
Zaxis,2
DigitalLeisureIncDigitalLeisure,2
VolatileGames,2
GenuineGames,2
3DO,2
DNSDevelopment,2
CollisionStudios,2
Saffire,2
LucasArtsKromeStudios,2
StarbreezeLionGames,2
Akella,2
IronGalaxyStudiosTheFunPimps,2
SilverbackStudios,2
RedLemonStudios,2
Kalypso,2
MaximumGames,2
Artoon,2
BlackOpsEntertainment,2
SlightlyMadStudios,2
LexisNumerique,2
EutechnyxDeepSilver,2
Aspect,1
DMADesignRockstarNorth,1
CloverStudio,1
TrickyPixels,1
LookingGlassStudiosIrrationalGames,1
ThatGameCompany,1
BluepointGamesSCEJapanStudio,1
NintendoHexaDrive,1
HexaDrive,1
JapanStudio,1
RavenSoftware,1
AngelStudios,1
Sanzaru,1
EidosMontrealStraightRight,1
NaughtyDogSCEWWS,1
RockstarNorthRockstarLeeds,1
DaveyWreden,1
OddworldInhabitants,1
DPadStudio,1
AsterizmCoLtd,1
HempuliOy,1
RetroStudios,1
RockstarVancouver,1
JoakimSandbergMP2Games,1
Edelweiss,1
OmegaForceSquareEnix,1
CrystalDynamicsUnitedFrontGames,1
BeeTribe,1
NextLevelGamesNintendo,1
BlizzardEntertainment,1
TantalusTantatusNintendo,1
MoonsproutGames,1
RedCandleGames,1
Indefatigable,1
343Industries,1
SegaRyugaGotokuStudios,1
RogueEntertainment,1
Polyarc,1
UbisoftUbisoftParisUbisoftMilan,1
SonyOnlineEntertainment,1
KronosDigitalEntertainment,1
HempuliOyMP2Games,1
EdmundMcMillenFlorianHimsl,1
IncognitoInc,1
RemedyEntertainment505Games,1
OpusProjectSora,1
CreativeAssemblyFeralInteractive,1
EidosMontrealNixxesSoftware,1
SKSGames,1
RealtimeWorlds,1
ReLogic,1
FoamSwordGames,1
SquareEnixTOSE,1
LiquidBit,1
Pixelatto,1
DigitalDialect,1
EurocomEntertainmentSoftwareVisceralGamesEurocom,1
BitBlot,1
PipeworksSoftwareIncReLogic,1
StudioPixel,1
ChunSoft,1
Chucklefish,1
superflatgames,1
ITL,1
FourDoorLemon,1
DejobaanGames,1
Nnooo,1
PlaysportGamesPlaysportGamesLtd,1
TeamNinjaTecmo,1
WargamingnetLestaStudio,1
MONKEYCRAFTCoLtd,1
WholesaleAlgorithms,1
NordicGamesPublishingKaiko,1
frecleApS,1
NaughtyDogSonyBend,1
UnknownWorldsEntertainment,1
ValveSoftware,1
unepicfran,1
AtlusStudioZero,1
CastlePixelLLC,1
AdelineSoftware,1
DeadMageStudioDeadMage,1
IoInteractiveNixxesSoftware,1
TurnMeUpGames,1
Vanguard,1
StunlockStudios,1
GiantSparrow,1
Nigoro,1
ArtificeStudio,1
AurelienRegard,1
HalfbrickStudios,1
ElectronicArtsEATiburon,1
TeamBondiVirtuos,1
PixelReef,1
MonteCristoMultimediaMonteCristo,1
SideBarGames,1
SunstormInteractive,1
NollaGames,1
MixedBag,1
GameArts,1
EndnightStudios,1
Gambitious,1
Morbidware,1
TequilaWorksQLOC,1
animdude,1
DoubleDamageGames,1
RovioMobileAbstractionGamesRovioEntertainment,1
ArmorGamesAtmosGames,1
CreepyJar,1
RisingStarGames,1
SCEJapanStudiocomcept,1
505GamesKeenGames,1
UrniqueStudio,1
MTwo,1
ZeboydGames,1
PygmyStudio,1
Level5MillenniumKitchen,1
ShadowPlanetProductions,1
BossKeyBossKeyProductions,1
YCJYYCJYGames,1
SouthendInteractive,1
PanicButtonRunicGames,1
GlassRevolver,1
M2,1
NeversoftEntertainmentBeenox,1
ZipperInteractive,1
Bombservice,1
SegaXeen,1
BossKeyProductions,1
SpacesofPlay,1
TributeGamesTributeGamesInc,1
UberEntertainment,1
CockroachInc,1
GunfireGamesKaiko,1
DoubleDamageGamesIncDoubleDamageGames,1
WillONeillWZOGames,1
ONEMORELEVEL,1
Factor5,1
Cave,1
StarGemInc,1
AnalgesicProductions,1
BLGPublishingLastChickenGames,1
CurveDigitalGamesCurveDigital,1
GameRepublicJapanStudio,1
GhostofaTaleSeithCG,1
Introversion,1
handInc,1
RebelActStudios,1
FishingCactus,1
TwoTribesMobigame,1
ProtocolGames,1
MonolithofMinds,1
TeotlStudiosTalawaGames,1
InvestigateNorthAps,1
UbisoftMontrealFunHouse,1
Skipmore,1
Nemesys,1
Crispys,1
SoldakEntertainment,1
RuariOSullivan,1
Sting,1
LoveConquersAllGames,1
StageClearStudios,1
MicrosoftGameStudios,1
RebellionNeversoftEntertainment,1
RedBlueGamesLLCRedBlueGames,1
RainGames,1
UbisoftFunHouse,1
JunctionPoint,1
RedThreadGames,1
PeroPeroGames,1
ElasticGames,1
Neckbolt,1
Level5,1
EvanTodd,1
SanzaruGamesSanzaruGamesInc,1
CertainAffinity,1
TeamSoho,1
CyanideCyanideStudios,1
ThingTrunk,1
DiscordGames,1
HibernianWorkshopTheArcadeCrew,1
PressPlay,1
HonorCodeInc,1
OhNoo,1
RainbowStudios,1
HibernianWorkshop,1
Headgate,1
NarcosisTeamHonorCodeInc,1
CapeCosmic,1
Mebius,1
ReinkoutGames,1
NeonStudios,1
ToeJamEarlProductions,1
SystemEraSoftworks,1
Rekim,1
Mages,1
DarklingRoom,1
HumbleHearts,1
TeamGrisGris,1
WarnerBros,1
CrunchingKoalasLichthund,1
ThomasBrush,1
CatchRelease,1
ShiftBandaiNamcoGames,1
Playmind,1
CosmicPicnic,1
NEOPOPCORNCorp,1
Straandlooper,1
RuffianGames,1
CreatureLabs,1
DaybreakGames,1
TripwireInteractive,1
RocksteadyStudiosIronGalaxyStudios,1
DrawDistance,1
CrystalDynamicsBuzzMonkeySoftware,1
TheWorkshop,1
SnapDragonGames,1
NanaOnSha,1
RevolutionSoftware,1
FishlabsDeepSilver,1
HijinxStudios,1
TributeGames,1
ArcadeMoon,1
OuterloopGames,1
Cadenza,1
Yager,1
LaughingJackal,1
LogicArtists,1
KonamiComputerEntertainmentHawaii,1
Ovosonico,1
WARP,1
AdventurePlanningService,1
